ID,prefLabel,WikiData_URI,Start_Date,End_Date,Type,Suggested_dating,has_Broader,ARS_Group_ID,ARS_Group_2_ID,ARS_Import_Horizon_ID,ARS_Import_Horizon_2_ID
hayes-form-1,Hayes form 1,Q109547600,50,80,Dish,60-80,,,,,
hayes-form-2,Hayes form 2,,50,100,Small bowl,70-80,,ARSA,,,
hayes-form-3,Hayes form 3,,60,200,Dish,,,ARSA,,,
hayes-form-3a,Hayes form 3a,,60,90,Dish,60-90,hayes-form-3,ARSA,,,
hayes-form-3b,Hayes form 3b,,75,150,Dish,75-150,hayes-form-3,ARSA,,,
hayes-form-3c,Hayes form 3c,,100,200,Dish,early-mid second century,hayes-form-3,ARSA,,,
hayes-form-4,Hayes form 4,,75,175,Dish,,,ARSA,,,
hayes-form-4a,Hayes form 4a,,75,125,Dish,late first to early second century,hayes-form-4,ARSA,,,
hayes-form-4b,Hayes form 4b,,125,175,Dish,perhaps mid second century,hayes-form-4,ARSA,,,
hayes-form-5,Hayes form 5,,60,150,Dish,,,ARSA,,,
hayes-form-5a,Hayes form 5a,,60,100,Dish,Flavian or a little earlier,hayes-form-5,ARSA,,,
hayes-form-5b,Hayes form 5b,,60,100,Dish,late first to early second century,hayes-form-5,,,,
hayes-form-5c,Hayes form 5c,,60,150,Dish,perhaps mid second century,hayes-form-5,ARSA,,,
hayes-form-6,Hayes form 6,,100,200,Dish,,,ARSA,,,
hayes-form-6a,Hayes form 6a,,100,200,Dish,end of first to early second century,hayes-form-6,ARSA,,,
hayes-form-6b,Hayes form 6b,,100,200,Dish,about mid to end second century,hayes-form-6,ARSA,,,
hayes-form-6c,Hayes form 6c,,100,200,Dish,,hayes-form-6,ARSA,,,
hayes-form-7,Hayes form 7,,70,150,Bowl,,,ARSA,,,
hayes-form-7a,Hayes form 7a,,60,125,Bowl,Flavian-early second century,hayes-form-7,,,,
hayes-form-7b,Hayes form 7b,,100,200,Bowl,early-mid second century,hayes-form-7,ARSA,,,
hayes-form-8,Hayes form 8,,75,200,Carinated bowl,,,ARSA,,,
hayes-form-8a,Hayes form 8a,,75,160,Carinated bowl,80/90-160+; fine thin-walled pieces Flavian,hayes-form-8,ARSA,,,
hayes-form-8b,Hayes form 8b,,150,200,Carinated bowl,second half of second century,hayes-form-8,ARSA,ARSD,,
hayes-form-9,Hayes form 9,,100,200,Bowl,,,,,,
hayes-form-9a,Hayes form 9a,,100,160,Bowl,c.100-160+,hayes-form-9,ARSA,,,
hayes-form-9b,Hayes form 9b,,150,200,Bowl,second half of second century,hayes-form-9,ARSA,,,
hayes-form-10,Hayes form 10,,100,200,Large carinated bowl,second century,,,,,
hayes-form-10a,Hayes form 10a,,100,150,Large carinated bowl,early second century,hayes-form-10,,,,
hayes-form-10b,Hayes form 10b,,150,200,Large carinated bowl,late second century,hayes-form-10,,,,
hayes-form-11,Hayes form 11,,100,200,Large carinated bowl,presumably second century,,ARSA,,,
hayes-form-12-102,Hayes form 12/102,,475,500,Small bowl,presumably second century,,ARSA,,,
hayes-form-13,Hayes form 13,,100,150,Small dish,probably early second century,,,,,
hayes-form-14,Hayes form 14,,125,200,Bowl,,,ARSA,,,
hayes-form-14a,Hayes form 14a,,125,175,Bowl,mid second century,hayes-form-14,ARSA,,,
hayes-form-14b,Hayes form 14b,,150,200,Bowl,second half of second century (c. 160-200+),hayes-form-14,ARSA,,,
hayes-form-14c,Hayes form 14c,,,,Bowl,late second-early third century (?),hayes-form-14,ARSA,,,
hayes-form-15,Hayes form 15,,150,200,Carinated bowl,early-mid third century,,ARSA,,,
hayes-form-16,Hayes form 16,,150,200,Small dish,c. 150-200+,,ARSA,,,
hayes-form-17,Hayes form 17,,150,200,Small bowl,,,ARSA,,,
hayes-form-17a,Hayes form 17a,,,,Small bowl,,,,,,
hayes-form-17b,Hayes form 17b,,,,Small bowl,,,ARSC,,,
hayes-form-18,Hayes form 18,,200,225,Shallow dish,early third century,,,,,
hayes-form-19,Hayes form 19,,75,125,Casserole,late first-early second century,,ARSA,,,
hayes-form-20,Hayes form 20,,75,125,Flanged lid,late first-early second century,,,,,
hayes-form-21,Hayes form 21,,100,150,Casserole,"uncertain, probably early-mid second century (on account of the rouletting)",,,,,
hayes-form-22,Hayes form 22,,100,150,Lid,"uncertain, probably early-mid second century",,ARSA,,,
hayes-form-23,Hayes form 23,,70,220,Casserole,,,,,,
hayes-form-23a,Hayes form 23a,,70,150,Casserole,early-mid second century,hayes-form-23,,,,
hayes-form-23b,Hayes form 23b,,150,220,Casserole,mid second-early third century,hayes-form-23,,,,
hayes-form-24,Hayes form 24,,175,225,Plate,probably late second or early third century,,,,,
hayes-form-25,Hayes form 25,,100,200,Rectangular dish,"uncertain, but presumably second century on grounds of style and fabric",,,,,
hayes-form-26,Hayes form 26,,150,225,Flat-based dish,second half of second century+,,ARSA,,,
hayes-form-27,Hayes form 27,,160,220,Dish,c. 160-220,,ARSA,,,
hayes-form-28,Hayes form 28,,200,225,Bowl,early third century,,,,,
hayes-form-29-,Hayes form 29 ,,200,220,Dish,probably early third century,,,,,
hayes-form-30,Hayes form 30,,200,250,Large dish,first half of third century,,,,,
hayes-form-31,Hayes form 31,,200,250,Large dish,early-mid third century,,ARSA,,,
hayes-form-32,Hayes form 32,,210,300,Dish,early-mid third century,,ARSD,,,
hayes-form-32-58,Hayes form 32/58,,280,420,,,,,,ARS_325,
hayes-form-33,Hayes form 33,,200,250,Plate,c. 200-250+,,,,,
hayes-form-34,Hayes form 34,,,,Bowl,late second- to early third-century,,,,,
hayes-form-35,Hayes form 35,,,,Small bowl,first half of third century,,,,,
hayes-form-36,Hayes form 36,,,,Deep bowl,first half of third century,,,,,
hayes-form-37,Hayes form 37,,,,Bowl,first half of third century,,,,,
hayes-form-38,Hayes form 38,,,,Deep bowl,first half of third century,,,,,
hayes-form-39,Hayes form 39,,,,Shallow bowl/dish,first half of third century,,,,,
hayes-form-40,Hayes form 40,,,,Shallow bowl,early-mid third century,,,,,
hayes-form-41,Hayes form 41,,,,Large bowl,c. 225-250,,,,,
hayes-form-42,Hayes form 42,,,,Large dish with flat cut-out hangles,c. 220-240/50,,ARSC,,,
hayes-form-43,Hayes form 43,,,,Small deep bowl,first half of third century,,,,,
hayes-form-44,Hayes form 44,,220,300,Small bowl,c. 220/40 to late third century (or slightly latery),,ARSC,,,
hayes-form-45,Hayes form 45,,200,300,Large bowl,,,,,,
hayes-form-45a,Hayes form 45a,,230,320,Large bowl,c. 230/40-320,hayes-form-45,ARSC,,,
hayes-form-45b,Hayes form 45b,,,,Large bowl,c. 230/40-320,hayes-form-45,ARSC,,,
hayes-form-45c,Hayes form 45c,,,,Large bowl,early-mid fourth century,hayes-form-45,ARSC,,ARS_325,
hayes-form-46,Hayes form 46,,275,325,Large bowl,last quarter of third-first quarter of fourth century,,ARSD,,,
hayes-form-47,Hayes form 47,,,,Plate,mid-late third century,,,,,
hayes-form-48,Hayes form 48,,220,320,Plate,,,ARSC,,,
hayes-form-48a,Hayes form 48a,,,,Plate,c. 220-270,hayes-form-48,ARSC,,,
hayes-form-48b,Hayes form 48b,Q109547597,,,Plate,c. 260-320,hayes-form-48,ARSC,,,
hayes-form-49,Hayes form 49,,,,Plate,c. 230/400-300,,ARSC,,,
hayes-form-50,Hayes form 50,,230,300,Large dish,,,ARSC,,,
hayes-form-50a,Hayes form 50a,,230,300,Large dish,thin fine examples: c. 230/240-325; later variety c. 300-360,hayes-form-50,ARSC,,,
hayes-form-50b,Hayes form 50b,,250,350,Large dish,c.350-400+,hayes-form-50,ARSC,,ARS_325,
