HLLG #,Read bibliography
1,Hidalgo 2016
2,"Francisco Llidó López, Óscar López Jiménez, and Victoria Martínez Calvo, ""Cadima,"" in Las villas romanas de la Bética, ed. Hidalgo Prieto 2016, 25-35

; https://farodebedar.com/2018/02/08/cadima-los-gallardos-villa-romana-de-la-betica/

María Esther Chávez-Álvarez, ""Análisis del territorio durante la ocupación protohistórica y romana en la depresión de Vera y valle del río Almanzora, Almería."" Unpublished dissertation, Universidad de la Laguna (2004), 141-143"
3,"Manuel Buzón Alarcón, ""Antiguos Cuarteles de Varela,"" in Las vilas romanas de la Bética, ed. Hidalgo Prieto, 39-46"
4,"L. Mora Figueroa, “La villa romana de ‘El Santiscal’ (Cádiz)”,
Habis, 8 (1977), 345-358.

Chavarría Arnau 2007, 250; García-Entero, Los balnea, 585

José María Sánchez Sánchez, “Un anillo inédito con inscripción procedente de ‘El Santiscal,’” Habis 21 (1990), 229-233.

Loreto Gómez Araujo, ""El Santiscal,"" in Las villas romanas de la Bética 2016, 47-49"
5,"Bernal Casasola and Lorenzo Martínez, ""Villa del Puente Grande en los Altos de Ringo Rango,"" in Hidalgo 2016, 50-59

A. Arévalo and C. Bernan, ""Los hallazgos monetales de la fase bajoimperial,"" in Excavaciones en la villa romana del Puente Grande, 477-483. 

D. Bernal and L. Lorenzo, eds. Excavaciones arqueológicas en la villa romana del Puente Grande. Cádiz (?), 2002. 

D. Bernal and A. Arévalo, ""Los elementos de cultura material cerámica de la fase bajo imperial,"" in D. Bernal and L. Lorenzo, eds. Excavaciones arqueológicas en la villa romana del Puente Grande. Cádiz (?), 2002, 415-438. 

Darío Bernal Casasola and Lourdes Lorenzo Martínez, ""Los Altos de Ringo Rango (Los Barrios, Cádiz): Un complejo residencial e industrial de época romana (ss. I-V d.C.) en la Bahía de Algeciras,"" CuPAUAM 23 (1996), 

"
6,"Bernal Casasola, ""Promontorium Iunonis-Cabo de Trafalgar,"" in Las villas romanas de la Bética, ed. Hidalgo Prieto 2016, 60-67

Díaz Rodríguez, José Juan, Darío Bernal-Casasola, Leandro Fantuzzi, José Luis Portillo Sotelo, Rafael Jiménez-Camino, and José Á. Expósito, ""Arqueología En El Promontorium Iunonis. Una Mirada diacrónica a La ocupación Humana Del Cabo De Trafalgar (Barbate, Cádiz),"" Revista Atlántica-Mediterránea De Prehistoria Y Arqueología Social 23 (2021):147-170

José J. Díaz, Darío Bernal-Casasola, Leandro Fantuzzi, José Luis Portillo, Alicia Fernández, and Gonzalo Castillo, ""La villa marítima del Cabo Trafalgar. Avances en el conocimiento de su pars urbana,"" in Arqueología y Numismática, edited by Eduardo Ferrer Albelda, Mercedes Oria Segura, Enrique García Vargas, Francisco José García Fernández, and Ruth Pliego Vázquez (Seville, 2021), 791-814"
7,"Rambla Torralvo, ""Torre Melgarejo 2,"" in Las villas romanas de la Bética, ed. Hidalgo Prieto 2016, 68-72"
8,"Cristina Chacón Mohedano, ""Nuevas estructuras arqueológicas documentadas en el yacimiento de Puente Melchor, Puerto Real, Cádiz,"" Maikanke 34 (2013), 77-93.

Cristina Chacón Mohedano, ""Barrio Jarama -- Puente Melchor,"" in Las villas romanas de la Bética, ed. Hidalgo Prieto 2016, 73-77; 

Mohedano 2013. "
9,"Darío Bernal Casasola and María Luisa Lavado Florido, ""Puente Melchor,"" in Las villas romanas de la Bética, ed. Hidaldo Prieto 2016, 77-93

;  Mohedano 2013. "
10,"Díaz Rodríguez et al. 2016; AAA 2000 III, 166-173. 

Carta Arqueológica de San Fernando, 264-265"
11,"Buzón Alarcon 2016

"
12,"Hidalgo Prieto 2016; Helal Ouriachen 2012 goes into great details about the Christian phases; Hidalgo Prieto 2014 considers whether it might have been a villa. 

AAA 1993, III, 132-148 has info on ceramics. 

Pedro Francisco Marfil Ruiz, ""El complejo cristiano de Cercadilla (Córdoba),"" AAC 21-22 (2010-2011), 241-252.

Manuel D. Ruiz-Bueno and Belén Vázquez Navajas, ""Las termas en los suburbia de la Córdoba romana,"" in Termas públicas en Hispania (2020), 681-695, at 682-684


del Camino Fuertes Santos, M., Goméz, I.C., Prieto., R.H., del Carmen Barragán Valencia, M., & Ortiz, I.B. (2009). Intervención Arqueológica Puntual para la Puesta e n Valor del Conjunto Termal del Palatium Maximiani. Yacimiento de Cercadilla. Córdoba. Campaña 2009. Anuario Arqueológico de Andalucía.
"
