Municipality,municipality_wiki_uri,wiki_id,municipality_viaf_uri,municipality_viaf_id,municipality_geonames_uri,municipality_geonames_id,description
A Arnoia,https://www.wikidata.org/entity/Q1631832,Q1631832,http://viaf.org/viaf/316733169,316733169,http://www.geonames.org/6359821,6359821,municipality of Spain
Abades,https://www.wikidata.org/entity/Q1769902,Q1769902,http://viaf.org/viaf/1233162117997002320008,1233162117997002320008,http://www.geonames.org/6360747,6360747,"human settlement in Segovia Province, Castile and León, Spain"
Abadiño,https://www.wikidata.org/entity/Q744893,Q744893,http://viaf.org/viaf/151433348,151433348,http://www.geonames.org/6362353,6362353,municipality of Spain
Abanilla,https://www.wikidata.org/entity/Q1635711,Q1635711,http://viaf.org/viaf/241892545,241892545,http://www.geonames.org/6359506,6359506,municipality of Spain
Abla,https://www.wikidata.org/entity/Q322064,Q322064,http://viaf.org/viaf/316734752,316734752,http://www.geonames.org/6355518,6355518,municipality of Spain
Aboim das Choças,https://www.wikidata.org/entity/Q322689,Q322689,,,http://www.geonames.org/8013126,8013126,civil parish in Arcos de Valdevez
Abrantes,https://www.wikidata.org/entity/Q331191,Q331191,http://viaf.org/viaf/163482393,163482393,http://www.geonames.org/2272447,2272447,"municipality and city in Santarém, Portugal"
Abrucena,https://www.wikidata.org/entity/Q1110408,Q1110408,http://viaf.org/viaf/316732800,316732800,http://www.geonames.org/6355519,6355519,municipality of Spain
Abusejo,https://www.wikidata.org/entity/Q1634871,Q1634871,http://viaf.org/viaf/1418162117997602320005,1418162117997602320005,http://www.geonames.org/6360259,6360259,municipality of Spain
A Casela,https://www.wikidata.org/entity/Q12380347,Q12380347,,,http://www.geonames.org/3126026,3126026,human settlement in Spain
A Coruña,https://www.wikidata.org/entity/Q8757,Q8757,http://viaf.org/viaf/172759296,172759296,http://www.geonames.org/6357300,6357300,"city and municipality in the province of A Coruña, Galicia, Spain"
Adra,https://www.wikidata.org/entity/Q49562,Q49562,http://viaf.org/viaf/126686112,126686112,http://www.geonames.org/6355520,6355520,"municipality of Almería province, in Spain"
Adradas,https://www.wikidata.org/entity/Q829225,Q829225,http://viaf.org/viaf/3966166360574107070006,3966166360574107070006,http://www.geonames.org/6361062,6361062,municipality of Spain
A Estrada,https://www.wikidata.org/entity/Q1621191,Q1621191,http://viaf.org/viaf/137184046,137184046,http://www.geonames.org/6360219,6360219,"municipality in Pontevedra, Galicia, Spain"
A Fonsagrada,https://www.wikidata.org/entity/Q1465213,Q1465213,http://viaf.org/viaf/316732822,316732822,http://www.geonames.org/6359179,6359179,municipality of Spain
A Garda,https://www.wikidata.org/entity/Q105619281,Q105619281,http://viaf.org/viaf/125597388,125597388,http://www.geonames.org/6360225,6360225,"hamlet in Taramundi, Spain"
Agón,https://www.wikidata.org/entity/Q931369,Q931369,http://viaf.org/viaf/264347783,264347783,http://www.geonames.org/6362697,6362697,municipality of Spain
Agoncillo,https://www.wikidata.org/entity/Q1606725,Q1606725,http://viaf.org/viaf/247389393,247389393,http://www.geonames.org/6358992,6358992,municipality of Spain
Ágreda,https://www.wikidata.org/entity/Q39856,Q39856,http://viaf.org/viaf/140942542,140942542,http://www.geonames.org/6361063,6361063,"Soria, Spain"
Agualva-Cacém,https://www.wikidata.org/entity/Q397900,Q397900,,,http://www.geonames.org/2270503,2270503,city
A Guarda,https://www.wikidata.org/entity/Q300433,Q300433,http://viaf.org/viaf/125597388,125597388,http://www.geonames.org/6360225,6360225,municipality of Spain
Aguilafuente,https://www.wikidata.org/entity/Q1627434,Q1627434,http://viaf.org/viaf/316732960,316732960,http://www.geonames.org/6360750,6360750,municipality of Spain
Aguilar de la Frontera,https://www.wikidata.org/entity/Q854444,Q854444,http://viaf.org/viaf/146750329,146750329,http://www.geonames.org/6357197,6357197,municipality of Spain
Aguilar del Río Alhama,https://www.wikidata.org/entity/Q1637495,Q1637495,http://viaf.org/viaf/139593704,139593704,http://www.geonames.org/6358993,6358993,municipality of Spain
Aguilar de Segarra,https://www.wikidata.org/entity/Q16675,Q16675,http://viaf.org/viaf/316734431,316734431,http://www.geonames.org/6356040,6356040,"municipality in Barcelona, Catalonia, Spain"
Águilas,https://www.wikidata.org/entity/Q249941,Q249941,http://viaf.org/viaf/129011149,129011149,http://www.geonames.org/6359508,6359508,municipality of Spain
Agullent,https://www.wikidata.org/entity/Q932861,Q932861,http://viaf.org/viaf/316733041,316733041,http://www.geonames.org/6361869,6361869,municipality of Spain
Agurain/Salvatierra,https://www.wikidata.org/entity/Q398698,Q398698,http://viaf.org/viaf/7561171191150858030002,7561171191150858030002,http://www.geonames.org/6355278,6355278,"municipality in the province of Álava, Basque Country, Spain"
Aia,https://www.wikidata.org/entity/Q1631163,Q1631163,http://viaf.org/viaf/128017207,128017207,http://www.geonames.org/6358107,6358107,municipality of Spain
Aielo de Malferit,https://www.wikidata.org/entity/Q508503,Q508503,http://viaf.org/viaf/143108839,143108839,http://www.geonames.org/6361907,6361907,municipality of Spain
Aielo de Rugat,https://www.wikidata.org/entity/Q538302,Q538302,http://viaf.org/viaf/316735342,316735342,http://www.geonames.org/6361908,6361908,"municipality in the comarca of Vall d'Albaida in the Valencian Community, Spain"
Aitona,https://www.wikidata.org/entity/Q1646588,Q1646588,http://viaf.org/viaf/155902283,155902283,http://www.geonames.org/6358795,6358795,municipality of Spain
Ajalvir,http://www.wikidata.org/entity/Q855674,Q855674,http://viaf.org/viaf/316735198,316735198,http://www.geonames.org/6359228,6359228,municipality of Spain
Ajuda,https://www.wikidata.org/entity/Q413311,Q413311,http://viaf.org/viaf/248239527,248239527,http://www.geonames.org/8012460,8012460,civil parish in Lisboa
Alaior,https://www.wikidata.org/entity/Q847324,Q847324,http://viaf.org/viaf/145586016,145586016,http://www.geonames.org/6533928,6533928,municipality of Spain
