HLLG #,Site Name,Municipality,Site type,Analysis_Site_Type,Provincia,New Regions,TS_any,TS_early,TS_late,TSH,TSHT,TSHTB,TSHTM,TSG,DSP,ARSA,ARSC,ARSD,ARS_325,ARS_400,ARS_450,ARS_525,ARS_600,LRC,LRD,PRCW,Coin_pre234,Coin_C3crisis,Coins_tetrarchy,Coin_C4_E,Coin_C4_L,Coin_C5,Coin_Just,Latitude,Longitude
1,Los Villares de Chirivel,Chirivel,Villa,Villa,Carthaginensis,Carthaginensis Coast,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.598289,-2.25679
2,Cadima / Cortijo Cadímar (?),Los Gallardos,Villa,Villa,Carthaginensis,Carthaginensis Coast,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,37.150753,-1.935826
4,El Santiscal,Arcos de la Frontera,Villa,Villa,Baetica,Strait of Gibraltar,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,36.766068,-5.769035
5,Villa del Puente Grande en los Altos de Ringo Rango,Los Barrios,Villa,Villa,Baetica,Strait of Gibraltar,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,36.174982,-5.490022
6,Promontorium Iunonis-Cabo de Trafalgar,Barbate,Villa,Villa,Baetica,Strait of Gibraltar,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.181818,-6.033264
7,Torre Melgarejo 2,Jerez de la Frontera,Villa,Villa,Baetica,Strait of Gibraltar,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.686634,-6.131912
8,Villa del Barrio Jarama / Paso a Nivel,Puerto Real,Industrial,Other urban,Baetica,Strait of Gibraltar,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,36.499631,-6.143431
9,Puente Melchor,Puerto Real,Industrial,Other urban,Baetica,Strait of Gibraltar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,36.520797,-6.160994
10,Gallineras,San Fernando,Villa,Villa,Baetica,Strait of Gibraltar,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36.446323,-6.20619
12,Palacio de Cercadilla,Córdoba,Palace,Palace,Baetica,Upper Guadalquivir,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,37.8878,-4.79253
13,Rabanales,Córdoba,Villa,Villa,Baetica,Upper Guadalquivir,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.914375,-4.718859
15,Santa Rosa,Córdoba,Villa,Villa,Baetica,Upper Guadalquivir,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,37.895402,-4.781536
18,El Ruedo,Almedinilla,Villa,Villa,Baetica,Upper Guadalquivir,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,37.442975,-4.089286
19,Villa del Mithra / Mitra,Cabra,Villa,Villa,Baetica,Upper Guadalquivir,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,37.487073,-4.458556
21,El Arca,Castro del Río,Villa,Villa,Baetica,Upper Guadalquivir,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,37.681312,-4.467644
22,Encinarejo de los Frailes,Córdoba,Villa,Villa,Baetica,Middle Guadalquivir,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37.832058,-4.927007
